start_time,end_time,dx_range,dy_range,dz_range
489.841,519.4590000000002,"(-0.04279999999999999, 0.05349999999999997)","(-0.060800000000000014, 0.030200000000000005)","(-0.0789, 0.0247)"
495.831,525.753,"(-0.039500000000000014, 0.0539)","(-0.05930000000000001, 0.029900000000000013)","(-0.0789, 0.0247)"
498.856,528.566,"(-0.039999999999999994, 0.0539)","(-0.05930000000000001, 0.029900000000000013)","(-0.0789, 0.0247)"
505.633,535.464,"(-0.039999999999999994, 0.05400000000000002)","(-0.05930000000000001, 0.033700000000000015)","(-0.0789, 0.022900000000000004)"
505.63300000000004,535.464,"(-0.039999999999999994, 0.05400000000000002)","(-0.05930000000000001, 0.033700000000000015)","(-0.0789, 0.022900000000000004)"
511.745,541.727,"(-0.039999999999999994, 0.05400000000000002)","(-0.0597, 0.033700000000000015)","(-0.0789, 0.023799999999999988)"
514.589,544.48,"(-0.039999999999999994, 0.05400000000000002)","(-0.0597, 0.033700000000000015)","(-0.0789, 0.023799999999999988)"
518.401,548.1709999999998,"(-0.039999999999999994, 0.05400000000000002)","(-0.0597, 0.033700000000000015)","(-0.07769999999999999, 0.023799999999999988)"
521.366,551.1659999999998,"(-0.039999999999999994, 0.05510000000000001)","(-0.0597, 0.033700000000000015)","(-0.07769999999999999, 0.023799999999999988)"
528.082,557.943,"(-0.0397, 0.055899999999999984)","(-0.0612, 0.033700000000000015)","(-0.07769999999999999, 0.023799999999999988)"
533.982,563.752,"(-0.03970000000000001, 0.055899999999999984)","(-0.0612, 0.032300000000000016)","(-0.0759, 0.023799999999999988)"
537.854,567.474,"(-0.03970000000000001, 0.055899999999999984)","(-0.0612, 0.032300000000000016)","(-0.07519999999999999, 0.023799999999999988)"
540.668,549.019,"(-0.03589999999999999, 0.05149999999999999)","(-0.0575, 0.025300000000000017)","(-0.07519999999999999, 0.02010000000000001)"
549.563,551.197,"(-0.029300000000000007, 0.05510000000000001)","(-0.056800000000000024, 0.032300000000000016)","(-0.06849999999999999, 0.023400000000000004)"
551.741,570.651,"(-0.03970000000000001, 0.055899999999999984)","(-0.0612, 0.030399999999999983)","(-0.0751, 0.02210000000000001)"
543.572,551.197,"(-0.03589999999999999, 0.05510000000000001)","(-0.0575, 0.032300000000000016)","(-0.07400000000000001, 0.023400000000000004)"
551.741,573.253,"(-0.03970000000000001, 0.055899999999999984)","(-0.0612, 0.030399999999999983)","(-0.0751, 0.02210000000000001)"
550.168,551.197,"(-0.0271, 0.05510000000000001)","(-0.056800000000000024, 0.0232)","(-0.06849999999999999, 0.018000000000000016)"
551.741,580.059,"(-0.03970000000000001, 0.055899999999999984)","(-0.0612, 0.030399999999999983)","(-0.0783, 0.02360000000000001)"
556.7330000000002,586.443,"(-0.044799999999999986, 0.053399999999999975)","(-0.0612, 0.030399999999999983)","(-0.0784, 0.02360000000000001)"
560.091,589.802,"(-0.044799999999999986, 0.053399999999999975)","(-0.06039999999999999, 0.029)","(-0.0784, 0.02360000000000001)"
563.389,593.099,"(-0.044799999999999986, 0.05490000000000003)","(-0.06039999999999999, 0.029)","(-0.0784, 0.02360000000000001)"
567.05,593.947,"(-0.044799999999999986, 0.05490000000000003)","(-0.06039999999999999, 0.029)","(-0.0784, 0.02360000000000001)"
594.5509999999998,596.79,"(-0.031300000000000015, 0.05229999999999998)","(-0.04859999999999999, 0.028600000000000018)","(-0.0678, 0.023400000000000004)"
572.95,593.947,"(-0.044799999999999986, 0.05490000000000003)","(-0.06039999999999999, 0.029)","(-0.0784, 0.02360000000000001)"
594.5509999999998,602.781,"(-0.03720000000000001, 0.05229999999999998)","(-0.06140000000000001, 0.028600000000000018)","(-0.077, 0.023400000000000004)"
573.585,593.947,"(-0.044799999999999986, 0.05490000000000003)","(-0.06039999999999999, 0.029)","(-0.0784, 0.02360000000000001)"
603.325,603.507,"(-0.0291, -0.010300000000000005)","(-0.0578, -0.0353)","(-0.0691, -0.0527)"
0.29100000000000004,0.594,"(-0.0255, 0.04119999999999999)","(-0.049199999999999994, 0.017100000000000004)","(-0.055999999999999994, 0.010199999999999987)"
